path,kind,title,status,last_modified,content_state,evidence,notes,new_path
/?p=216,post,KU in February – THUNDERSNOW TOUR,200,2015-01-29,archival,rest-api;wayback,Dated news or event post,
/?p=234,post,KU in April – Sleater-Kinney Afterparty plus Help Chepo Fuck Cancer,200,2015-04-10,archival,rest-api;wayback,Dated news or event post,
/?p=242,post,"KU in May – Video from San Francisco, new venue in Austin",200,2015-05-01,archival,rest-api;wayback,Dated news or event post,
/?p=251,post,"KU in June: Drinks, Cheer Up Charlies, Nomad, Spider House",200,2015-05-31,archival,rest-api;wayback,Dated news or event post,
/?p=261,post,"KU in July: Midwest Tour 2015, part 2",200,2015-07-02,archival,rest-api;wayback,Dated news or event post,
/?p=279,post,KU in September + FFFest contest in October,200,2015-09-04,archival,rest-api;wayback,Dated news or event post,
/?p=292,post,KU in October – Fun Fun Fun Fest ticket giveaways every Sunday,200,2015-10-03,archival,rest-api;wayback,Dated news or event post,
/?p=308,post,Fun Fun Fun Fest Ultimate Smooth Passes contest,200,2015-11-04,archival,rest-api;wayback,Dated news or event post,
/?p=324,post,"Goodbye, 2015",200,2016-01-03,archival,rest-api;wayback;search-index,Dated news or event post,
/?p=335,post,THUNDERSNOW TOUR 2016,200,2016-02-11,archival,rest-api;wayback,Dated news or event post,
/?p=358,post,KU in May – Midwest Tour 2,200,2016-05-06,archival,rest-api;wayback,Dated news or event post,
/?p=364,post,"Midwest tour, May 2016",200,2016-05-21,archival,rest-api;wayback,Dated news or event post,
/?p=390,post,Spoon : Hot Songs Karaoke Party,200,2017-03-08,archival,rest-api;wayback,Themed songlist: 54 Spoon songs,
/?p=394,post,SXKU XIII,200,2017-03-08,archival,rest-api;wayback,Dated news or event post,
/?p=404,post,Midwest 2017,200,2017-05-30,archival,rest-api;wayback,Dated news or event post,
/?p=430,post,Goodbye 2017,200,2018-01-05,archival,rest-api;wayback,Dated news or event post,
/?p=499,post,2018 Top Tens,200,2019-01-03,archival,rest-api;wayback,Top-ten lists; entries written Title - Artist,
/?p=501,post,2019 Challenge: Sing The Unsung,200,2020-01-04,archival,rest-api;wayback,Themed songlist: 89 never-sung songs,
/?p=562,post,15 Years of Karaoke Underground,200,2019-12-06,archival,rest-api;wayback,Dated news or event post,
/?p=576,post,6th Annual SAD SONGS ONLY,200,2019-12-12,archival,rest-api;wayback,"Themed songlist: SAD SONGS ONLY 2019, about 250 songs",
/?p=586,post,Goodbye 2019: wrapping 15 years of KU,200,2019-12-31,archival,rest-api;wayback,Dated news or event post,
/?p=606,post,SAD SONGS ONLY 2021 – CANCELLED,200,2021-12-30,archival,rest-api;wayback,Dated news or event post,
/?p=618,post,"Stage 3, it is on – March 10 at Drinks",200,2022-03-02,archival,rest-api;wayback,Dated news or event post,
/?p=646,post,SAD SONGS ONLY 2022,200,2022-06-09,archival,rest-api;wayback,"Themed songlist: SAD SONGS ONLY 2022, 262 songs in a table (different format)",
/?p=679,post,Scary-oke on 10.27,200,2022-10-26,archival,rest-api;wayback;search-index,"Themed songlist: Halloween, about 165 songs",
/?p=692,post,SAD SONGS ONLY – DEC 26 2024,200,2024-12-26,archival,rest-api;wayback,"Themed songlist: 515 songs. Created 2022-12-28 and reused for 2024, so this URL's content changed",
/?p=835,post,SAD SONGS ONLY 2025,200,2025-12-27,archival,rest-api;wayback,Themed songlist: 542 songs,
/?cat=1,archive,Category: Uncategorized (45 posts),200,,n/a,rest-api;wayback,,
/?cat=3,archive,Category: WIN (1 posts),200,,n/a,rest-api;wayback,,
/?cat=4,archive,Category: Fun Fun Fun (1 posts),200,,n/a,rest-api;wayback,,
/?cat=9,archive,Category: benefit (1 posts),200,,n/a,rest-api;wayback,,
/?tag=benefit,archive,Tag: benefit (1 post),200,,n/a,rest-api;wayback,,
/?tag=funfunfunfest,archive,Tag: funfunfunfest (1 post),200,,n/a,rest-api;wayback,,
/?tag=giveaway,archive,Tag: giveaway (1 post),200,,n/a,rest-api;wayback,,
/?tag=inside-books,archive,Tag: inside books (1 post),200,,n/a,rest-api;wayback,,
/?tag=nomad,archive,Tag: nomad (1 post),200,,n/a,rest-api;wayback,,
/?tag=tenacious-d,archive,Tag: tenacious d (1 post),200,,n/a,rest-api;wayback,,
/?author=1,archive,Author archive (the one account),200,,n/a,wayback;search-index,,
/?m=201309,archive,Monthly archive 2013-09,200,,n/a,derived;wayback,,
/?m=201310,archive,Monthly archive 2013-10,200,,n/a,derived;wayback,,
/?m=201402,archive,Monthly archive 2014-02,200,,n/a,derived;wayback,,
/?m=201403,archive,Monthly archive 2014-03,200,,n/a,derived;wayback,,
/?m=201404,archive,Monthly archive 2014-04,200,,n/a,derived;wayback,,
/?m=201406,archive,Monthly archive 2014-06,200,,n/a,derived;wayback,,
/?m=201407,archive,Monthly archive 2014-07,200,,n/a,derived;wayback,,
/?m=201410,archive,Monthly archive 2014-10,200,,n/a,derived;wayback,,
/?m=201411,archive,Monthly archive 2014-11,200,,n/a,derived;wayback,,
/?m=201501,archive,Monthly archive 2015-01,200,,n/a,derived;wayback,,
/?m=201504,archive,Monthly archive 2015-04,200,,n/a,derived;wayback,,
/?m=201505,archive,Monthly archive 2015-05,200,,n/a,derived;wayback,,
/?m=201507,archive,Monthly archive 2015-07,200,,n/a,derived;wayback,,
/?m=201509,archive,Monthly archive 2015-09,200,,n/a,derived;wayback,,
/?m=201510,archive,Monthly archive 2015-10,200,,n/a,derived;wayback,,
/?m=201511,archive,Monthly archive 2015-11,200,,n/a,derived;wayback,,
/?m=201601,archive,Monthly archive 2016-01,200,,n/a,derived;wayback,,
/?m=201602,archive,Monthly archive 2016-02,200,,n/a,derived;wayback,,
/?m=201605,archive,Monthly archive 2016-05,200,,n/a,derived;wayback,,
/?m=201703,archive,Monthly archive 2017-03,200,,n/a,derived;wayback,,
/?m=201705,archive,Monthly archive 2017-05,200,,n/a,derived;wayback,,
/?m=201801,archive,Monthly archive 2018-01,200,,n/a,derived;wayback,,
/?m=201901,archive,Monthly archive 2019-01,200,,n/a,derived;wayback,,
/?m=201910,archive,Monthly archive 2019-10,200,,n/a,derived;wayback,,
/?m=201912,archive,Monthly archive 2019-12,200,,n/a,derived;wayback,,
/?m=202111,archive,Monthly archive 2021-11,200,,n/a,derived;wayback,,
/?m=202203,archive,Monthly archive 2022-03,200,,n/a,derived;wayback,,
/?m=202206,archive,Monthly archive 2022-06,200,,n/a,derived;wayback;search-index,,
/?m=202210,archive,Monthly archive 2022-10,200,,n/a,derived;wayback,,
/?m=202212,archive,Monthly archive 2022-12,200,,n/a,derived;wayback,,
/?m=202512,archive,Monthly archive 2025-12,200,,n/a,derived;wayback,,
/?m=2013,archive,Yearly archive 2013,200,,n/a,derived,,
/?m=2014,archive,Yearly archive 2014,200,,n/a,derived,,
/?m=2015,archive,Yearly archive 2015,200,,n/a,derived,,
/?m=2016,archive,Yearly archive 2016,200,,n/a,derived,,
/?m=2017,archive,Yearly archive 2017,200,,n/a,derived,,
/?m=2018,archive,Yearly archive 2018,200,,n/a,derived,,
/?m=2019,archive,Yearly archive 2019,200,,n/a,derived,,
/?m=2021,archive,Yearly archive 2021,200,,n/a,derived,,
/?m=2022,archive,Yearly archive 2022,200,,n/a,derived,,
/?m=2025,archive,Yearly archive 2025,200,,n/a,derived,,
/?paged=2,archive,"Home, older posts page 2",200,,n/a,crawl;wayback,,
/?paged=3,archive,"Home, older posts page 3",200,,n/a,crawl;wayback,,
/?paged=4,archive,"Home, older posts page 4",200,,n/a,crawl;wayback,,
/?paged=5,archive,"Home, older posts page 5",200,,n/a,crawl;wayback,,
/?feed=rss2,feed,Posts RSS feed,200,,n/a,crawl;wayback,Linked from every page head,
/?feed=comments-rss2,feed,Comments RSS feed (the site has 0 comments),403,,n/a,wayback,,
/?feed=rss2&p=<post id>,feed,Per-post comment feeds (pattern),,,n/a,wayback,22 archived; one per post,
/?s=<query>,search,WordPress search results (pattern),,,n/a,derived,No search box in the theme,
/?attachment_id=25,attachment,527520_443747185641376_943840011_n,200,2013-09-15,archival,rest-api,Not attached to a post,
/?attachment_id=26,attachment,935918_673465382669554_1854870390_n,200,2013-09-15,archival,rest-api,Not attached to a post,
/?attachment_id=27,attachment,983964_673465769336182_1598489714_n,200,2013-09-15,archival,rest-api,Not attached to a post,
/?attachment_id=28,attachment,996840_673465556002870_1507826807_n,200,2013-09-15,archival,rest-api,Not attached to a post,
/?attachment_id=87,attachment,1912105_828229997193091_612035348_n,200,2014-03-03,archival,rest-api,Parent post 86,
/?attachment_id=93,attachment,SXKU X,200,2014-03-11,archival,rest-api,Parent post 91,
/?attachment_id=99,attachment,Karaoke-Underground-Poster,200,2014-04-23,archival,rest-api,Parent post 98,
/?attachment_id=109,attachment,Alie,200,2014-04-29,archival,rest-api,Parent post 108,
/?attachment_id=110,attachment,The Missyfits,200,2014-04-29,archival,rest-api,Parent post 108,
/?attachment_id=111,attachment,Patrick,200,2014-04-29,archival,rest-api,Parent post 108,
/?attachment_id=112,attachment,Cliff,200,2014-04-29,archival,rest-api,Parent post 108,
/?attachment_id=124,attachment,PRFBBQWEST,200,2014-04-30,archival,rest-api,Parent post 123,
/?attachment_id=133,attachment,lilithcuc,200,2014-06-18,archival,rest-api,Parent post 132,
/?attachment_id=164,attachment,141015_ND_SingYourMind!,200,2014-10-13,archival,rest-api,Parent post 163,
/?attachment_id=235,attachment,sleaterkinneyafterparty,200,2015-04-10,archival,rest-api,Parent post 234,
/?attachment_id=243,attachment,skcuc crowd,200,2015-05-01,archival,rest-api,Parent post 242,
/?attachment_id=262,attachment,KUSA,200,2015-07-02,archival,rest-api,Parent post 261,
/?attachment_id=280,attachment,"Lightbulb Club in Fayetteville, AR",200,2015-09-04,archival,rest-api,Parent post 279,
/?attachment_id=294,attachment,IMG_3103,200,2015-10-03,archival,rest-api,Parent post 292,
/?attachment_id=309,attachment,FFF2015 judges,200,2015-11-04,archival,rest-api,Parent post 308,
/?attachment_id=310,attachment,FFF2015 Dylan,200,2015-11-04,archival,rest-api,Parent post 308,
/?attachment_id=336,attachment,KUMP Thundersnow,200,2016-02-11,archival,rest-api,Parent post 335,
/?attachment_id=359,attachment,Screen Shot 2016-05-05 at 1.41.33 PM,200,2016-05-06,archival,rest-api,Parent post 358,
/?attachment_id=365,attachment,"The Accord, Champaign",200,2016-05-21,archival,rest-api,Parent post 364,
/?attachment_id=366,attachment,"Township, Chicago",200,2016-05-21,archival,rest-api,Parent post 364,
/?attachment_id=367,attachment,"The Sydney, Omaha",200,2016-05-21,archival,rest-api,Parent post 364,
/?attachment_id=368,attachment,"2720 Cherokee, St. Louis",200,2016-05-21,archival,rest-api,Parent post 364,
/?attachment_id=369,attachment,"Mickey’s Tavern, Madison",200,2016-05-21,archival,rest-api,Parent post 364,
/?attachment_id=370,attachment,"Backspace, Fayetteville",200,2016-05-21,archival,rest-api,Parent post 364,
/?attachment_id=391,attachment,Spoon Karaoke,200,2017-03-08,archival,rest-api,Parent post 390,
/?attachment_id=395,attachment,SXKU XIII,200,2017-03-08,archival,rest-api,Parent post 394,
/?attachment_id=405,attachment,18518132_1748667068482708_7173471806521778953_o,200,2017-05-30,archival,rest-api,Parent post 404,
/?attachment_id=435,attachment,IMG_5412,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=437,attachment,IMG_4595,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=439,attachment,IMG_3098,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=441,attachment,IMG_2154,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=447,attachment,IMG_1475,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=449,attachment,IMG_0839,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=451,attachment,IMG_0718,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=453,attachment,IMG_9645,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=455,attachment,IMG_8628,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=457,attachment,IMG_7229,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=459,attachment,IMG_4917,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=461,attachment,IMG_0238,200,2018-01-27,archival,rest-api,Not attached to a post,
/?attachment_id=563,attachment,Karaoke Underground 15th Anniversary,200,2019-10-10,archival,rest-api,Parent post 562,
/?attachment_id=577,attachment,SAD SONGS ONLY 2019,200,2019-12-07,archival,rest-api,Parent post 576,
/?attachment_id=607,attachment,Screen-Shot-2021-11-13-at-8.55.39-PM,200,2021-11-13,archival,rest-api,Parent post 606,
/?attachment_id=609,attachment,Screen-Shot-2021-11-13-at-9.06.08-PM,200,2021-11-13,archival,rest-api,Parent post 606,
/?attachment_id=613,attachment,cancel,200,2021-12-30,archival,rest-api,Parent post 606,
/?attachment_id=619,attachment,KU foot flyer – Drinks,200,2022-03-02,archival,rest-api,Parent post 618,
/?attachment_id=623,attachment,KUatIR,200,2022-03-21,archival,rest-api,Not attached to a post,
/?attachment_id=680,attachment,310452084_757643918612860_2027895937406778547_n,200,2022-10-26,archival,rest-api,Parent post 679,
/?attachment_id=694,attachment,SAD SONGS ONLY 2022B,200,2022-12-28,archival,rest-api,Parent post 692,
/wp-content/uploads/<yyyy>/<mm>/<file>,uploads,WordPress media library (pattern): 53 originals plus generated sizes,200,2013-2022,archival,rest-api,"53 of 53 originals live, 41.0 MB; posts link the full-size files directly",
/wp-content/themes/KU/<file>,theme-assets,"KU theme files (pattern): logo, social icons, CSS",200,,n/a,crawl,Pages reference them by relative paths,
/beerland11-30.html,legacy-page,"Photo recap: Beerland, benefit for Monkeywrench Books, 11.30.04",200,2007-03-18,archival,wayback;crawl,Pre-WordPress static site,
/bikerert10-23.html,legacy-page,"Photo recap: Collection RERT bike film fundraiser, 10.23.04",200,2007-03-18,archival,wayback;crawl,Pre-WordPress static site,
/calendar.html,legacy-page,Old calendar: shows from May-June 2013,200,2013-05-05,stale,wayback;crawl,Pre-WordPress static site,
/contact.html,legacy-page,Old contact page,200,2011-05-10,stale,wayback;crawl,Pre-WordPress static site,
/craigslist.html,legacy-page,Unrelated one-off page,200,2004-12-05,archival,wayback;crawl,Pre-WordPress static site,
/denton7-17.html,legacy-page,"Photo recap: Denton, 7.17.05",200,2005-11-10,archival,wayback;crawl,Pre-WordPress static site,
/ego's5-9.html,legacy-page,"Photo recap: Ego's, 5.9.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/egos3-21.html,legacy-page,"Photo recap: Ego's debut, 3.21.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/factory6-18.html,legacy-page,"Photo recap: Factory People Friday, 6.18.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/factory8-6.html,legacy-page,"Photo recap: Factory People Brit Pop Nite, 8.6.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/hhunters1-18.html,legacy-page,"Photo recap: Headhunters, 1.18.05",200,2005-01-23,archival,wayback;crawl,Pre-WordPress static site,
/hhunters11-17.html,legacy-page,"Photo recap: Headhunters debut, 11.17.04",200,2004-12-01,archival,wayback;crawl,Pre-WordPress static site,
/hhunters3-8.html,legacy-page,"Photo recap: Headhunters, 3.8.04 (as written; file dated 2005)",200,2005-03-26,archival,wayback;crawl,Pre-WordPress static site,
/hideout4-1.html,legacy-page,"Photo recap: Hideout, 4.1.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/index.html,legacy-page,Old static homepage,404,,n/a,wayback;crawl,Pre-WordPress static site,
/jane.html,legacy-page,"Photo recap: Jane ACL Fest afterparty, 9.17.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/kegger2-20.html,legacy-page,"Photo recap: Karaoke Kegger, 2.20.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/lasttrophy's.html,legacy-page,"Photo recap: last show at Trophy's, 10.27.04",200,2004-11-04,archival,wayback;crawl,Pre-WordPress static site,
/links.html,legacy-page,Old links and press page,200,2013-01-26,stale,wayback;crawl,Pre-WordPress static site,
/longbranch10-9.html,legacy-page,"Photo recap: Longbranch Inn film benefit, 10.9.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/photo.html,legacy-page,Old photos index; points to Facebook for 2009-2011,200,2011-05-30,archival,wayback;crawl,Pre-WordPress static site,
/photos.html,legacy-page,Old photos index; points to Facebook for 2009-2011,200,2011-05-30,archival,wayback;crawl,Pre-WordPress static site,
/photos04.html,legacy-page,"Photos: The First Year, 2004",200,2005-11-10,archival,wayback;crawl,Pre-WordPress static site,
/phs.html,legacy-page,"Old page, known only from the Wayback Machine",404,,n/a,wayback;crawl,Pre-WordPress static site,
/phs04.html,legacy-page,"Old page, known only from the Wayback Machine",404,,n/a,wayback;crawl,Pre-WordPress static site,
/sake10-30.html,legacy-page,"Photo recap: Sake On Sixth, 10.30.04",200,2004-11-04,archival,wayback;crawl,Pre-WordPress static site,
/songlist.html,legacy-page,"Old songlist: Updated 6.15.13, 688 songs",200,2013-06-15,stale,wayback;crawl,Pre-WordPress static site,
/sxlb.html,legacy-page,"Photo recap: Longbranch Inn, 3.20.04",200,2005-03-26,archival,wayback;crawl,Pre-WordPress static site,
/trophy's10-13.html,legacy-page,"Photo recap: Trophy's, 10.13.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/trophy's6-16.html,legacy-page,"Photo recap: Trophy's debut, 6.16.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/trophy's6-30.html,legacy-page,"Photo recap: Trophy's, 6.30.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/trophy's8-11.html,legacy-page,"Photo recap: Trophy's first championship round, 8.11.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/trophy's9-15.html,legacy-page,"Photo recap: Trophy's, 9.15.04",200,2004-10-15,archival,wayback;crawl,Pre-WordPress static site,
/forum/,legacy-page,Old static news page (named forum),200,,archival,wayback;crawl,/forum 301s here,
/<file>.png (site root),legacy-assets,"Pre-WordPress photos and assets (pattern): 21 of 21 files live, 3.5 MB",200,2004-2007,archival,wayback;crawl,Linked from the legacy pages above,
/IMG_<n>.JPG,legacy-assets,"Pre-WordPress photos and assets (pattern): 2 of 2 files live, 0.1 MB",200,2004-2004,archival,wayback;crawl,Linked from the legacy pages above,
/images/<file>,legacy-assets,"Pre-WordPress photos and assets (pattern): 390 of 390 files live, 68.2 MB",200,2004-2007,archival,wayback;crawl,Linked from the legacy pages above,
/main.css,legacy-assets,"Pre-WordPress photos and assets (pattern): 1 of 1 files live, 0.0 MB",200,2007-2007,archival,wayback;crawl,Linked from the legacy pages above,
